"","Банк","Дата","Кредити","Статус"
"348","БАНК МОРСЬКИЙ",2014-04-01,543431.66476,"Ліквідований"
"349","ЗАХІДІНКОМБАНК",2014-04-01,590362.71481,"Ліквідований"
"350","ДАНІЕЛЬ",2014-04-01,27706.1858300001,"Ліквідований"
"351","ПОРТО-ФРАНКО",2014-04-01,858071.62865,"Ліквідований"
"352","ПРОМЕКОНОМБАНК",2014-04-01,683200.40927,"Ліквідований"
"353","ФІНРОСТБАНК",2014-04-01,992820.3546,"Ліквідований"
"354","БАНК РЕНЕСАНС КАПІТАЛ",2014-04-01,680538.36257,"Ліквідований"
"355","АКСІОМА",2014-04-01,1024428.32774,"Ліквідований"
"356","УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ",2014-04-01,1172105.38126,"Ліквідований"
"357","АВТОКРАЗБАНК",2014-04-01,1163715.8122,"Ліквідований"
"358","БАНК МЕРКУРІЙ",2014-04-01,1070453.10616,"Ліквідований"
"359","ЕКСПОБАНК",2014-04-01,1317307.79685,"Ліквідований"
"360","БАНК ПЕРШИЙ",2014-04-01,1298724.31634,"Ліквідований"
"361","БАНК ДЕМАРК",2014-04-01,1421339.21625,"Ліквідований"
"362","БАНК ЗОЛОТІ ВОРОТА",2014-04-01,1423128.31442,"Ліквідований"
"363","БАНК КАМБІО",2014-04-01,1767734.50575,"Ліквідований"
"364","БАНК КІПРУ",2014-04-01,1855166.94206,"Ліквідований"
"365","ЄВРОГАЗБАНК ",2014-04-01,1896386.10152,"Ліквідований"
"366","МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК ",2014-04-01,2251670.07649,"Ліквідований"
"367","ТЕРРА БАНК",2014-04-01,2520119.45236,"Ліквідований"
"368","АКТИВ - БАНК",2014-04-01,2806053.49842,"Ліквідований"
"369","АКТАБАНК ",2014-04-01,3138387.84618,"Ліквідований"
"370","ПІВДЕНКОМБАНК ",2014-04-01,4273922.51555,"Ліквідований"
"371","РЕАЛ БАНК",2014-04-01,4125273.46216,"Ліквідований"
"372","БАНК ФОРУМ",2014-04-01,7653031.83276,"Ліквідований"
"373","ВIEЙБI БАНК",2014-04-01,16544820.33113,"Ліквідований"
"374","БРОКБІЗНЕСБАНК",2014-04-01,11166291.32196,"Ліквідований"
"375","БГ БАНК",2014-04-01,NA,"Ліквідований"
"376","РВС БАНК",2014-04-01,NA,"Діючий"
"377","ФІНАНСОВА ІНІЦІАТИВА",2014-07-01,12651622.49639,"Діючий"
"378","АРТЕМ-БАНК",2014-07-01,236391.03554,"Ліквідований"
"379","БАНК ТРАСТ",2014-07-01,489050.59818,"Діючий"
"380","УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.",2014-07-01,12744.55113,"Діючий"
"381","БАНК ФАМІЛЬНИЙ",2014-07-01,30874.05517,"Діючий"
"382","АПЕКС-БАНК",2014-07-01,473601.82423,"Діючий"
"383","НОВИЙ",2014-07-01,509004.82807,"Діючий"
"384","РЕГІОН-БАНК",2014-07-01,310338.93304,"Діючий"
"385","АКОРДБАНК",2014-07-01,412549.75306,"Діючий"
"386","ЗЕМЕЛЬНИЙ КАПІТАЛ",2014-07-01,179650.02975,"Діючий"
"387","ФІНЕКСБАНК",2014-07-01,70194.61988,"Ліквідований"
"388","ВЕКТОР БАНК",2014-07-01,146393.84836,"Діючий"
"389","КРЕДИТ ОПТИМА БАНК",2014-07-01,126210.52529,"Діючий"
"390","БАНК ПОРТАЛ",2014-07-01,92472.76838,"Діючий"
"391","АЛЬПАРІ БАНК",2014-07-01,31941.73724,"Діючий"
"392","НЕОС БАНК",2014-07-01,NA,"Діючий"
"393","ЛЬВІВ",2014-07-01,712791.74606,"Діючий"
"394","БАНК СІЧ",2014-07-01,320051.1871,"Діючий"
"395","УКРБУДІНВЕСТБАНК",2014-07-01,279994.20816,"Діючий"
"396","АП БАНК",2014-07-01,NA,"Діючий"
"397","ГЕФЕСТ",2014-07-01,0,"Діючий"
"398","ЦЕНТР",2014-07-01,120406.94055,"Діючий"
"399","ФІНАНСОВИЙ ПАРТНЕР",2014-07-01,138346.17476,"Діючий"
"400","КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК",2014-07-01,18358.45733,"Діючий"
"401","БАНК УКРАЇНСЬКИЙ КАПІТАЛ",2014-07-01,180019.71484,"Діючий"
"402","НК БАНК",2014-07-01,NA,"Діючий"
"403","ДІАМАНТБАНК",2014-07-01,2911884.19585,"Діючий"
"404","МЕТАБАНК",2014-07-01,545977.81405,"Діючий"
"405","АЙБОКС БАНК",2014-07-01,298452.15422,"Діючий"
"406","ІНВЕСТБАНК",2014-07-01,376096.61052,"Діючий"
"407","ВЕРНУМ БАНК",2014-07-01,116723.07759,"Діючий"
"408","РОЗРАХУНКОВИЙ ЦЕНТР",2014-07-01,0,"Діючий"
"409","БАНК АЛЬЯНС",2014-07-01,476492.30101,"Діючий"
"410","КОМІНВЕСТБАНК",2014-07-01,585267.87707,"Діючий"
"411","МОТОР-БАНК",2014-07-01,204117.85869,"Діючий"
"412","ЮНЕКС БАНК",2014-07-01,1282987.64675,"Діючий"
"413","КОНКОРД",2014-07-01,172557.59137,"Діючий"
"414","МІСТО БАНК",2014-07-01,1237657.48011,"Діючий"
"415","ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК",2014-07-01,189133.46433,"Діючий"
"416","ОКСІ БАНК",2014-07-01,345009.69652,"Діючий"
"417","БАНК АВАНГАРД",2014-07-01,0,"Діючий"
"418","БАНК БОГУСЛАВ",2014-07-01,330637.85685,"Діючий"
"419","ПОЛІКОМБАНК",2014-07-01,333447.40264,"Діючий"
"420","ФІНБАНК",2014-07-01,2640685.26222,"Діючий"
"421","МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-07-01,1397171.68373,"Діючий"
"422","КРЕДИТВЕСТ БАНК",2014-07-01,372516.22185,"Діючий"
"423","РАДАБАНК",2014-07-01,219152.88412,"Діючий"
"424","ЄВРОПРОМБАНК",2014-07-01,795343.16911,"Діючий"
"425","БАНК ЮНІСОН",2014-07-01,390952.33666,"Діючий"
"426","ТРАСТ-КАПІТАЛ",2014-07-01,244365.47464,"Діючий"
"427","КРИСТАЛБАНК",2014-07-01,NA,"Діючий"
"428","ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-07-01,687642.56639,"Діючий"
"429","ІДЕЯ БАНК",2014-07-01,2149517.32924,"Діючий"
"430","ДІВІ БАНК",2014-07-01,3975483.79837,"Діючий"
"431","АСВІО БАНК",2014-07-01,382730.82697,"Діючий"
"432","ДОЙЧЕ БАНК ДБУ",2014-07-01,254613.24403,"Діючий"
"433","БАНК ФОРВАРД",2014-07-01,2107596.2324,"Діючий"
"434","ТАСКОМБАНК",2014-07-01,2287533.8999,"Діючий"
"435","БМ БАНК",2014-07-01,2429119.49054,"Діючий"
"436","ГЛОБУС",2014-07-01,653107.65702,"Діючий"
"437","МАРФІН БАНК ",2014-07-01,1391947.46333,"Діючий"
"438","А - БАНК",2014-07-01,865473.13111,"Діючий"
"439","СЕБ КОРПОРАТИВНИЙ БАНК",2014-07-01,684535.49583,"Діючий"
"440","ЕКСПРЕС-БАНК",2014-07-01,808872.67434,"Діючий"
"441","КЛІРИНГОВИЙ ДІМ",2014-07-01,2092520.14235,"Діючий"
"442","КРЕДИТ ЄВРОПА БАНК ",2014-07-01,1185616.73743,"Діючий"
"443","БАНК ГРАНТ",2014-07-01,744052.9886,"Діючий"
"444","БАНК 3/4",2014-07-01,385356.39226,"Діючий"
"445","БАНК КРЕДИТ ДНІПРО",2014-07-01,4897224.32091,"Діючий"
"446","БАНК ВОСТОК",2014-07-01,2603095.71746,"Діючий"
"447","ПІРЕУС БАНК МКБ",2014-07-01,1530344.06316,"Діючий"
"448","ПОЛТАВА - БАНК",2014-07-01,936687.21933,"Діючий"
"449","БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",2014-07-01,2557806.31668,"Діючий"
"450","ФОРТУНА-БАНК",2014-07-01,3157055.82293,"Діючий"
"451","АРКАДА",2014-07-01,2027811.46066,"Діючий"
"452","IНДУСТРІАЛБАНК",2014-07-01,1516612.94835,"Діючий"
"453","МЕГАБАНК",2014-07-01,5070739.5544,"Діючий"
"454","УНІВЕРСАЛ БАНК",2014-07-01,4114386.83767,"Діючий"
"455","ВІЕС БАНК",2014-07-01,1647028.95456,"Діючий"
"456","КРЕДOБАНК",2014-07-01,2753550.46635,"Діючий"
"457","ПРОКРЕДИТ БАНК",2014-07-01,2470467.8832,"Діючий"
"458","ПРАВЕКС-БАНК",2014-07-01,2568872.6717,"Діючий"
"459","БТА БАНК  ",2014-07-01,806624.56494,"Діючий"
"460","СІТІБАНК ",2014-07-01,2622636.05956,"Діючий"
"461","ПІВДЕННИЙ",2014-07-01,10341614.68549,"Діючий"
"462","КРЕДІ АГРІКОЛЬ БАНК",2014-07-01,13478194.84879,"Діючий"
"463","ОТП БАНК",2014-07-01,15295664.84494,"Діючий"
"464","РОДОВІД БАНК",2014-07-01,90942.5401000001,"Діючий"
"465","СБЕРБАНК РОСІЇ",2014-07-01,34462701.19832,"Діючий"
"466","ІНГ БАНК УКРАЇНА",2014-07-01,9246671.78164,"Діючий"
"467","ПУМБ",2014-07-01,24273712.43224,"Діючий"
"468","УКРСИББАНК",2014-07-01,14278101.17332,"Діючий"
"469","ВТБ БАНК",2014-07-01,24498103.55711,"Діючий"
"470","УКРГАЗБАНК ",2014-07-01,11688422.9712,"Діючий"
"471","ПРОМІНВЕСТБАНК",2014-07-01,38099196.36208,"Діючий"
"472","УКРЕКСІМБАНК",2014-07-01,52430260.16538,"Діючий"
"473","АЛЬФА-БАНК",2014-07-01,22905367.11958,"Діючий"
"474","РАЙФФАЙЗЕН БАНК АВАЛЬ",2014-07-01,28837046.48316,"Діючий"
"475","ОЩАДБАНК",2014-07-01,63408187.42811,"Діючий"
"476","УКРСОЦБАНК",2014-07-01,31505617.80523,"Діючий"
"477","ПРИВАТБАНК",2014-07-01,146888020.96826,"Діючий"
"478","ДЕЛЬТА БАНК",2014-07-01,44271086.78036,"Ліквідований"
"479","НАДРА",2014-07-01,30255552.08533,"Ліквідований"
"480","IМЕКСБАНК",2014-07-01,9947671.25512,"Ліквідований"
"481","ЗЛАТОБАНК",2014-07-01,7160848.06341,"Ліквідований"
"482","УКРБІЗНЕСБАНК ",2014-07-01,3569384.14225,"Ліквідований"
"483","ОМЕГА БАНК",2014-07-01,0,"Ліквідований"
"484","КРЕДИТПРОМБАНК",2014-07-01,213116.30904,"Ліквідований"
"485","ПРОФІН БАНК",2014-07-01,265058.27417,"Ліквідований"
"486","СТАНДАРТ",2014-07-01,440709.02751,"Ліквідований"
"487","АСТРА БАНК",2014-07-01,202.9116,"Ліквідований"
"488","ЕНЕРГОБАНК",2014-07-01,1144081.17387,"Ліквідований"
"489","УКРГАЗПРОМБАНК",2014-07-01,675656.38298,"Ліквідований"
"490","КИЇВ",2014-07-01,840384.43484,"Ліквідований"
"491","БАНК КОНТРАКТ",2014-07-01,291363.55999,"Ліквідований"
"492","БАНК СОФІЙСЬКИЙ",2014-07-01,572982.63018,"Ліквідований"
"493","ДЕРЖЗЕМБАНК",2014-07-01,0,"Ліквідований"
"494","БАНК НАРОДНИЙ КАПІТАЛ",2014-07-01,204940.46953,"Ліквідований"
"495","ЄВРОБАНК",2014-07-01,818524.6211,"Ліквідований"
"496","ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК",2014-07-01,77178.16623,"Ліквідований"
"497","БАНК ВЕЛЕС",2014-07-01,153041.78999,"Ліквідований"
"498","СТОЛИЧНИЙ",2014-07-01,457813.40586,"Ліквідований"
"499","РАДИКАЛ БАНК",2014-07-01,878476.251,"Ліквідований"
"500","ТК КРЕДИТ",2014-07-01,727271.55806,"Ліквідований"
"501","БАНК НАЦІОНАЛЬНИЙ КРЕДИТ",2014-07-01,1450581.53437,"Ліквідований"
"502","КСГ БАНК ",2014-07-01,326083.95999,"Ліквідований"
"503","ФІНАНС БАНК",2014-07-01,28336.42935,"Ліквідований"
"504","УКООПСПІЛКА",2014-07-01,176072.74443,"Ліквідований"
"505","КАПІТАЛ",2014-07-01,707651.4652,"Ліквідований"
"506","КЛАСИКБАНК",2014-07-01,402256.85578,"Ліквідований"
"507","IНТЕГРАЛ - БАНК",2014-07-01,597566.08246,"Ліквідований"
"508","БАНК ПЕТРОКОММЕРЦ-УКРАЇНА",2014-07-01,654431.7812,"Ліквідований"
"509","ЮНІОН СТАНДАРД БАНК",2014-07-01,647706.33264,"Ліквідований"
"510","ПРЕМIУМ",2014-07-01,661901.61606,"Ліквідований"
"511","СМАРТБАНК ",2014-07-01,NA,"Ліквідований"
"512","АВАНТ-БАНК",2014-07-01,1085544.45058,"Ліквідований"
"513","БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ",2014-07-01,3534184.18618,"Ліквідований"
"514","ПЛАТИНУМ БАНК",2014-07-01,4650045.53927,"Діючий"
"515","БАНК КИЇВСЬКА РУСЬ ",2014-07-01,5667904.70001,"Ліквідований"
"516","СОЮЗ",2014-07-01,2357062.23869,"Ліквідований"
"517","БАНК МИХАЙЛІВСЬКИЙ",2014-07-01,940612.63235,"Ліквідований"
"518","УНIКОМБАНК",2014-07-01,695678.85334,"Ліквідований"
"519","УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК",2014-07-01,2411701.08432,"Ліквідований"
"520","ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ",2014-07-01,3290836.61405,"Ліквідований"
"521","ХРЕЩАТИК",2014-07-01,3678281.98185,"Ліквідований"
"522","УКРІНБАНК",2014-07-01,5027932.55602,"Ліквідований"
"523","ФІДОБАНК",2014-07-01,5409339.54613,"Ліквідований"
"524","БАНК ФІНАНСИ ТА КРЕДИТ",2014-07-01,24966588.99805,"Ліквідований"
"525","СХІДНО-ПРОМИСЛ. КОМЕРЦ. БАНК",2014-07-01,64217.24194,"Ліквідований"
"526","ПРАЙМ-БАНК",2014-07-01,192382.09996,"Ліквідований"
"527","IНТЕРБАНК",2014-07-01,21891.35646,"Ліквідований"
"528","ЛЕГБАНК",2014-07-01,366417.73971,"Ліквідований"
"529","ГРІН БАНК",2014-07-01,257523.01141,"Ліквідований"
"530","УКРКОМУНБАНК",2014-07-01,289047.77721,"Ліквідований"
"531","СТАРОКИЇВСЬКИЙ БАНК",2014-07-01,142071.9392,"Ліквідований"
"532","ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТР.",2014-07-01,NA,"Ліквідований"
"533","МЕЛІОР БАНК",2014-07-01,287937.38364,"Ліквідований"
"534","БАНК РИНКОВІ ТЕХНОЛОГІЇ",2014-07-01,322132.04455,"Ліквідований"
"535","ІНТЕРКРЕДИТБАНК",2014-07-01,391336.7307,"Ліквідований"
"536","БАНК МОРСЬКИЙ",2014-07-01,NA,"Ліквідований"
"537","ЗАХІДІНКОМБАНК",2014-07-01,424440.26195,"Ліквідований"
"538","ДАНІЕЛЬ",2014-07-01,NA,"Ліквідований"
"539","ПОРТО-ФРАНКО",2014-07-01,863742.47935,"Ліквідований"
"540","ПРОМЕКОНОМБАНК",2014-07-01,633155.37657,"Ліквідований"
"541","ФІНРОСТБАНК",2014-07-01,1063066.27306,"Ліквідований"
"542","БАНК РЕНЕСАНС КАПІТАЛ",2014-07-01,660610.85662,"Ліквідований"
"543","АКСІОМА",2014-07-01,963057.85245,"Ліквідований"
"544","УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ",2014-07-01,NA,"Ліквідований"
"545","АВТОКРАЗБАНК",2014-07-01,1078194.28956,"Ліквідований"
"546","БАНК МЕРКУРІЙ",2014-07-01,NA,"Ліквідований"
"547","ЕКСПОБАНК",2014-07-01,1304094.47488,"Ліквідований"
"548","БАНК ПЕРШИЙ",2014-07-01,1287677.36337,"Ліквідований"
"549","БАНК ДЕМАРК",2014-07-01,1441556.16384,"Ліквідований"
"550","БАНК ЗОЛОТІ ВОРОТА",2014-07-01,828065.71397,"Ліквідований"
"551","БАНК КАМБІО",2014-07-01,1804492.75872,"Ліквідований"
"552","БАНК КІПРУ",2014-07-01,1636086.16553,"Ліквідований"
"553","ЄВРОГАЗБАНК ",2014-07-01,1894100.18168,"Ліквідований"
"554","МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК ",2014-07-01,2440275.98551,"Ліквідований"
"555","ТЕРРА БАНК",2014-07-01,2718093.51969,"Ліквідований"
"556","АКТИВ - БАНК",2014-07-01,2952512.91006,"Ліквідований"
"557","АКТАБАНК ",2014-07-01,3018110.87334,"Ліквідований"
"558","ПІВДЕНКОМБАНК ",2014-07-01,3887623.74592,"Ліквідований"
"559","РЕАЛ БАНК",2014-07-01,NA,"Ліквідований"
"560","БАНК ФОРУМ",2014-07-01,NA,"Ліквідований"
"561","ВIEЙБI БАНК",2014-07-01,17224959.15147,"Ліквідований"
"562","БРОКБІЗНЕСБАНК",2014-07-01,NA,"Ліквідований"
"563","БГ БАНК",2014-07-01,NA,"Ліквідований"
"564","РВС БАНК",2014-07-01,NA,"Діючий"
"565","ФІНАНСОВА ІНІЦІАТИВА",2014-10-01,13948698.66429,"Діючий"
"566","АРТЕМ-БАНК",2014-10-01,273707.41266,"Ліквідований"
"567","БАНК ТРАСТ",2014-10-01,519975.2047,"Діючий"
"568","УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.",2014-10-01,12484.05996,"Діючий"
"569","БАНК ФАМІЛЬНИЙ",2014-10-01,48190.63024,"Діючий"
"570","АПЕКС-БАНК",2014-10-01,529145.89311,"Діючий"
"571","НОВИЙ",2014-10-01,542136.86885,"Діючий"
"572","РЕГІОН-БАНК",2014-10-01,322390.41699,"Діючий"
"573","АКОРДБАНК",2014-10-01,414797.44589,"Діючий"
"574","ЗЕМЕЛЬНИЙ КАПІТАЛ",2014-10-01,135102.40465,"Діючий"
"575","ФІНЕКСБАНК",2014-10-01,50743.28232,"Ліквідований"
"576","ВЕКТОР БАНК",2014-10-01,125628.60874,"Діючий"
"577","КРЕДИТ ОПТИМА БАНК",2014-10-01,113944.5216,"Діючий"
"578","БАНК ПОРТАЛ",2014-10-01,85478.39657,"Діючий"
"579","АЛЬПАРІ БАНК",2014-10-01,31941.29096,"Діючий"
"580","НЕОС БАНК",2014-10-01,753629.30789,"Діючий"
"581","ЛЬВІВ",2014-10-01,768965.62947,"Діючий"
"582","БАНК СІЧ",2014-10-01,357336.35612,"Діючий"
"583","УКРБУДІНВЕСТБАНК",2014-10-01,288064.44775,"Діючий"
"584","АП БАНК",2014-10-01,NA,"Діючий"
"585","ГЕФЕСТ",2014-10-01,0,"Діючий"
"586","ЦЕНТР",2014-10-01,119172.12157,"Діючий"
"587","ФІНАНСОВИЙ ПАРТНЕР",2014-10-01,81217.26576,"Діючий"
"588","КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК",2014-10-01,4977.66008,"Діючий"
"589","БАНК УКРАЇНСЬКИЙ КАПІТАЛ",2014-10-01,206871.73026,"Діючий"
"590","НК БАНК",2014-10-01,NA,"Діючий"
"591","ДІАМАНТБАНК",2014-10-01,3229497.98734,"Діючий"
"592","МЕТАБАНК",2014-10-01,475360.6839,"Діючий"
"593","АЙБОКС БАНК",2014-10-01,304862.24486,"Діючий"
"594","ІНВЕСТБАНК",2014-10-01,381416.48157,"Діючий"
"595","ВЕРНУМ БАНК",2014-10-01,120964.49235,"Діючий"
"596","РОЗРАХУНКОВИЙ ЦЕНТР",2014-10-01,0,"Діючий"
"597","БАНК АЛЬЯНС",2014-10-01,473752.04671,"Діючий"
"598","КОМІНВЕСТБАНК",2014-10-01,588733.26188,"Діючий"
"599","МОТОР-БАНК",2014-10-01,205100.41186,"Діючий"
"600","ЮНЕКС БАНК",2014-10-01,1304934.12387,"Діючий"
"601","КОНКОРД",2014-10-01,171327.77735,"Діючий"
"602","МІСТО БАНК",2014-10-01,1411458.63603,"Діючий"
"603","ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК",2014-10-01,197797.75706,"Діючий"
"604","ОКСІ БАНК",2014-10-01,339625.53045,"Діючий"
"605","БАНК АВАНГАРД",2014-10-01,0,"Діючий"
"606","БАНК БОГУСЛАВ",2014-10-01,372687.89365,"Діючий"
"607","ПОЛІКОМБАНК",2014-10-01,350593.3473,"Діючий"
"608","ФІНБАНК",2014-10-01,2761565.06763,"Діючий"
"609","МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-10-01,1455200.89981,"Діючий"
"610","КРЕДИТВЕСТ БАНК",2014-10-01,416451.34791,"Діючий"
"611","РАДАБАНК",2014-10-01,232751.18446,"Діючий"
"612","ЄВРОПРОМБАНК",2014-10-01,826132.60021,"Діючий"
"613","БАНК ЮНІСОН",2014-10-01,341014.63949,"Діючий"
"614","ТРАСТ-КАПІТАЛ",2014-10-01,231458.49009,"Діючий"
"615","КРИСТАЛБАНК",2014-10-01,NA,"Діючий"
"616","ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-10-01,757471.77141,"Діючий"
"617","ІДЕЯ БАНК",2014-10-01,2214218.72611,"Діючий"
"618","ДІВІ БАНК",2014-10-01,3206268.02884,"Діючий"
"619","АСВІО БАНК",2014-10-01,357498.11226,"Діючий"
"620","ДОЙЧЕ БАНК ДБУ",2014-10-01,314400.39516,"Діючий"
"621","БАНК ФОРВАРД",2014-10-01,1858711.77433,"Діючий"
"622","ТАСКОМБАНК",2014-10-01,2151115.52288,"Діючий"
"623","БМ БАНК",2014-10-01,2418300.78697,"Діючий"
"624","ГЛОБУС",2014-10-01,670022.63924,"Діючий"
"625","МАРФІН БАНК ",2014-10-01,1472865.00604,"Діючий"
"626","А - БАНК",2014-10-01,773074.90331,"Діючий"
"627","СЕБ КОРПОРАТИВНИЙ БАНК",2014-10-01,1115467.38307,"Діючий"
"628","ЕКСПРЕС-БАНК",2014-10-01,819059.00908,"Діючий"
"629","КЛІРИНГОВИЙ ДІМ",2014-10-01,1922226.57675,"Діючий"
"630","КРЕДИТ ЄВРОПА БАНК ",2014-10-01,1050072.13469,"Діючий"
"631","БАНК ГРАНТ",2014-10-01,810504.08043,"Діючий"
"632","БАНК 3/4",2014-10-01,497830.55918,"Діючий"
"633","БАНК КРЕДИТ ДНІПРО",2014-10-01,5189464.13011,"Діючий"
"634","БАНК ВОСТОК",2014-10-01,2964448.66226,"Діючий"
"635","ПІРЕУС БАНК МКБ",2014-10-01,1578251.91731,"Діючий"
"636","ПОЛТАВА - БАНК",2014-10-01,1004467.78674,"Діючий"
"637","БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",2014-10-01,2852341.00523,"Діючий"
"638","ФОРТУНА-БАНК",2014-10-01,2971064.96289,"Діючий"
"639","АРКАДА",2014-10-01,2059385.88231,"Діючий"
"640","IНДУСТРІАЛБАНК",2014-10-01,1662922.08528,"Діючий"
"641","МЕГАБАНК",2014-10-01,5245510.19686,"Діючий"
"642","УНІВЕРСАЛ БАНК",2014-10-01,4111670.58819,"Діючий"
"643","ВІЕС БАНК",2014-10-01,1522587.96836,"Діючий"
"644","КРЕДOБАНК",2014-10-01,2794530.51968,"Діючий"
"645","ПРОКРЕДИТ БАНК",2014-10-01,3004820.84503,"Діючий"
"646","ПРАВЕКС-БАНК",2014-10-01,2549858.00009,"Діючий"
"647","БТА БАНК  ",2014-10-01,782835.81737,"Діючий"
"648","СІТІБАНК ",2014-10-01,3440428.75487,"Діючий"
"649","ПІВДЕННИЙ",2014-10-01,10356422.49899,"Діючий"
"650","КРЕДІ АГРІКОЛЬ БАНК",2014-10-01,14240537.91688,"Діючий"
"651","ОТП БАНК",2014-10-01,15466075.02985,"Діючий"
"652","РОДОВІД БАНК",2014-10-01,65587.0385299998,"Діючий"
"653","СБЕРБАНК РОСІЇ",2014-10-01,34691747.56889,"Діючий"
"654","ІНГ БАНК УКРАЇНА",2014-10-01,7657395.26067,"Діючий"
"655","ПУМБ",2014-10-01,24419083.19726,"Діючий"
"656","УКРСИББАНК",2014-10-01,13685949.56742,"Діючий"
"657","ВТБ БАНК",2014-10-01,25035421.21297,"Діючий"
"658","УКРГАЗБАНК ",2014-10-01,10843888.62162,"Діючий"
"659","ПРОМІНВЕСТБАНК",2014-10-01,37095780.75243,"Діючий"
"660","УКРЕКСІМБАНК",2014-10-01,51088244.41147,"Діючий"
"661","АЛЬФА-БАНК",2014-10-01,23485370.69565,"Діючий"
"662","РАЙФФАЙЗЕН БАНК АВАЛЬ",2014-10-01,28447664.59259,"Діючий"
"663","ОЩАДБАНК",2014-10-01,64799634.84762,"Діючий"
"664","УКРСОЦБАНК",2014-10-01,30831650.28183,"Діючий"
"665","ПРИВАТБАНК",2014-10-01,150422912.51159,"Діючий"
"666","ДЕЛЬТА БАНК",2014-10-01,46234276.30342,"Ліквідований"
"667","НАДРА",2014-10-01,31014912.53718,"Ліквідований"
"668","IМЕКСБАНК",2014-10-01,10090445.16986,"Ліквідований"
"669","ЗЛАТОБАНК",2014-10-01,7197107.99752,"Ліквідований"
"670","УКРБІЗНЕСБАНК ",2014-10-01,3383810.49034,"Ліквідований"
"671","ОМЕГА БАНК",2014-10-01,0,"Ліквідований"
"672","КРЕДИТПРОМБАНК",2014-10-01,211309.54411,"Ліквідований"
"673","ПРОФІН БАНК",2014-10-01,312059.92493,"Ліквідований"
"674","СТАНДАРТ",2014-10-01,684212.52094,"Ліквідований"
"675","АСТРА БАНК",2014-10-01,182.4732,"Ліквідований"
"676","ЕНЕРГОБАНК",2014-10-01,1062552.18141,"Ліквідований"
"677","УКРГАЗПРОМБАНК",2014-10-01,655218.2866,"Ліквідований"
"678","КИЇВ",2014-10-01,862660.10414,"Ліквідований"
"679","БАНК КОНТРАКТ",2014-10-01,378567.4573,"Ліквідований"
"680","БАНК СОФІЙСЬКИЙ",2014-10-01,603598.92754,"Ліквідований"
"681","ДЕРЖЗЕМБАНК",2014-10-01,0,"Ліквідований"
"682","БАНК НАРОДНИЙ КАПІТАЛ",2014-10-01,219800.42124,"Ліквідований"
"683","ЄВРОБАНК",2014-10-01,421837.07123,"Ліквідований"
"684","ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК",2014-10-01,184346.77315,"Ліквідований"
"685","БАНК ВЕЛЕС",2014-10-01,143729.55595,"Ліквідований"
"686","СТОЛИЧНИЙ",2014-10-01,485441.11756,"Ліквідований"
"687","РАДИКАЛ БАНК",2014-10-01,947122.61367,"Ліквідований"
"688","ТК КРЕДИТ",2014-10-01,716205.7493,"Ліквідований"
"689","БАНК НАЦІОНАЛЬНИЙ КРЕДИТ",2014-10-01,1441254.71746,"Ліквідований"
"690","КСГ БАНК ",2014-10-01,306204.81473,"Ліквідований"
"691","ФІНАНС БАНК",2014-10-01,51134.48602,"Ліквідований"
"692","УКООПСПІЛКА",2014-10-01,125625.81557,"Ліквідований"
"693","КАПІТАЛ",2014-10-01,794715.2467,"Ліквідований"
"694","КЛАСИКБАНК",2014-10-01,334167.99261,"Ліквідований"
"695","IНТЕГРАЛ - БАНК",2014-10-01,597396.9554,"Ліквідований"
"696","БАНК ПЕТРОКОММЕРЦ-УКРАЇНА",2014-10-01,641149.672,"Ліквідований"
"697","ЮНІОН СТАНДАРД БАНК",2014-10-01,674708.12418,"Ліквідований"
"698","ПРЕМIУМ",2014-10-01,808762.95266,"Ліквідований"
"699","СМАРТБАНК ",2014-10-01,NA,"Ліквідований"
"700","АВАНТ-БАНК",2014-10-01,1098659.23641,"Ліквідований"
