"","Банк","Дата","Кредити","Статус"
"83","БТА БАНК  ",2014-01-01,784459.79888,"Діючий"
"84","СІТІБАНК ",2014-01-01,2317869.72296,"Діючий"
"85","ПІВДЕННИЙ",2014-01-01,7979420.35112,"Діючий"
"86","КРЕДІ АГРІКОЛЬ БАНК",2014-01-01,11436512.9648,"Діючий"
"87","ОТП БАНК",2014-01-01,14123829.07911,"Діючий"
"88","РОДОВІД БАНК",2014-01-01,237677.82867,"Діючий"
"89","СБЕРБАНК РОСІЇ",2014-01-01,25912040.44205,"Діючий"
"90","ІНГ БАНК УКРАЇНА",2014-01-01,6571189.46566,"Діючий"
"91","ПУМБ",2014-01-01,19898098.79414,"Діючий"
"92","УКРСИББАНК",2014-01-01,14601718.07619,"Діючий"
"93","ВТБ БАНК",2014-01-01,18688420.16823,"Діючий"
"94","УКРГАЗБАНК ",2014-01-01,10257720.78343,"Діючий"
"95","ПРОМІНВЕСТБАНК",2014-01-01,28400115.55887,"Діючий"
"96","УКРЕКСІМБАНК",2014-01-01,42273618.0796,"Діючий"
"97","АЛЬФА-БАНК",2014-01-01,20228133.50262,"Діючий"
"98","РАЙФФАЙЗЕН БАНК АВАЛЬ",2014-01-01,27046846.69875,"Діючий"
"99","ОЩАДБАНК",2014-01-01,51546229.47928,"Діючий"
"100","УКРСОЦБАНК",2014-01-01,27374530.24228,"Діючий"
"101","ПРИВАТБАНК",2014-01-01,142548091.66974,"Діючий"
"102","ДЕЛЬТА БАНК",2014-01-01,40109663.67125,"Ліквідований"
"103","НАДРА",2014-01-01,25031906.3183,"Ліквідований"
"104","IМЕКСБАНК",2014-01-01,9314807.60808,"Ліквідований"
"105","ЗЛАТОБАНК",2014-01-01,6112341.3526,"Ліквідований"
"106","УКРБІЗНЕСБАНК ",2014-01-01,4305843.29435,"Ліквідований"
"107","ОМЕГА БАНК",2014-01-01,170.82234,"Ліквідований"
"108","КРЕДИТПРОМБАНК",2014-01-01,272826.28357,"Ліквідований"
"109","ПРОФІН БАНК",2014-01-01,197693.8927,"Ліквідований"
"110","СТАНДАРТ",2014-01-01,333947.24702,"Ліквідований"
"111","АСТРА БАНК",2014-01-01,45613.75659,"Ліквідований"
"112","ЕНЕРГОБАНК",2014-01-01,1233860.41509,"Ліквідований"
"113","УКРГАЗПРОМБАНК",2014-01-01,698621.66579,"Ліквідований"
"114","КИЇВ",2014-01-01,801729.9057,"Ліквідований"
"115","БАНК КОНТРАКТ",2014-01-01,299717.54564,"Ліквідований"
"116","БАНК СОФІЙСЬКИЙ",2014-01-01,473706.49693,"Ліквідований"
"117","ДЕРЖЗЕМБАНК",2014-01-01,0,"Ліквідований"
"118","БАНК НАРОДНИЙ КАПІТАЛ",2014-01-01,188589.73922,"Ліквідований"
"119","ЄВРОБАНК",2014-01-01,729299.30331,"Ліквідований"
"120","ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК",2014-01-01,79926.4698,"Ліквідований"
"121","БАНК ВЕЛЕС",2014-01-01,137395.32688,"Ліквідований"
"122","СТОЛИЧНИЙ",2014-01-01,498254.18833,"Ліквідований"
"123","РАДИКАЛ БАНК",2014-01-01,1223889.33392,"Ліквідований"
"124","ТК КРЕДИТ",2014-01-01,723843.22714,"Ліквідований"
"125","БАНК НАЦІОНАЛЬНИЙ КРЕДИТ",2014-01-01,1247702.49878,"Ліквідований"
"126","КСГ БАНК ",2014-01-01,319641.18984,"Ліквідований"
"127","ФІНАНС БАНК",2014-01-01,31768.10293,"Ліквідований"
"128","УКООПСПІЛКА",2014-01-01,200977.06673,"Ліквідований"
"129","КАПІТАЛ",2014-01-01,810195.54114,"Ліквідований"
"130","КЛАСИКБАНК",2014-01-01,978354.18421,"Ліквідований"
"131","IНТЕГРАЛ - БАНК",2014-01-01,553930.51553,"Ліквідований"
"132","БАНК ПЕТРОКОММЕРЦ-УКРАЇНА",2014-01-01,633863.42496,"Ліквідований"
"133","ЮНІОН СТАНДАРД БАНК",2014-01-01,527197.07596,"Ліквідований"
"134","ПРЕМIУМ",2014-01-01,506483.58955,"Ліквідований"
"135","СМАРТБАНК ",2014-01-01,NA,"Ліквідований"
"136","АВАНТ-БАНК",2014-01-01,873614.17338,"Ліквідований"
"137","БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ",2014-01-01,3221100.64958,"Ліквідований"
"138","ПЛАТИНУМ БАНК",2014-01-01,4785876.26333,"Діючий"
"139","БАНК КИЇВСЬКА РУСЬ ",2014-01-01,5458440.61308,"Ліквідований"
"140","СОЮЗ",2014-01-01,3449404.18762,"Ліквідований"
"141","БАНК МИХАЙЛІВСЬКИЙ",2014-01-01,221153.25197,"Ліквідований"
"142","УНIКОМБАНК",2014-01-01,578886.46003,"Ліквідований"
"143","УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК",2014-01-01,2263653.97466,"Ліквідований"
"144","ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ",2014-01-01,3865168.98646,"Ліквідований"
"145","ХРЕЩАТИК",2014-01-01,4104191.3192,"Ліквідований"
"146","УКРІНБАНК",2014-01-01,3946592.71952,"Ліквідований"
"147","ФІДОБАНК",2014-01-01,5030420.51992,"Ліквідований"
"148","БАНК ФІНАНСИ ТА КРЕДИТ",2014-01-01,20248062.48897,"Ліквідований"
"149","СХІДНО-ПРОМИСЛ. КОМЕРЦ. БАНК",2014-01-01,68965.27539,"Ліквідований"
"150","ПРАЙМ-БАНК",2014-01-01,150417.52602,"Ліквідований"
"151","IНТЕРБАНК",2014-01-01,231127.83825,"Ліквідований"
"152","ЛЕГБАНК",2014-01-01,270659.96168,"Ліквідований"
"153","ГРІН БАНК",2014-01-01,297493.81817,"Ліквідований"
"154","УКРКОМУНБАНК",2014-01-01,297953.28558,"Ліквідований"
"155","СТАРОКИЇВСЬКИЙ БАНК",2014-01-01,317726.9596,"Ліквідований"
"156","ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТР.",2014-01-01,326031.4957,"Ліквідований"
"157","МЕЛІОР БАНК",2014-01-01,367258.38677,"Ліквідований"
"158","БАНК РИНКОВІ ТЕХНОЛОГІЇ",2014-01-01,382931.82601,"Ліквідований"
"159","ІНТЕРКРЕДИТБАНК",2014-01-01,390251.68492,"Ліквідований"
"160","БАНК МОРСЬКИЙ",2014-01-01,471364.65617,"Ліквідований"
"161","ЗАХІДІНКОМБАНК",2014-01-01,582301.30999,"Ліквідований"
"162","ДАНІЕЛЬ",2014-01-01,598547.6088,"Ліквідований"
"163","ПОРТО-ФРАНКО",2014-01-01,707825.0026,"Ліквідований"
"164","ПРОМЕКОНОМБАНК",2014-01-01,777506.20634,"Ліквідований"
"165","ФІНРОСТБАНК",2014-01-01,827351.41482,"Ліквідований"
"166","БАНК РЕНЕСАНС КАПІТАЛ",2014-01-01,869311.8762,"Ліквідований"
"167","АКСІОМА",2014-01-01,995543.11682,"Ліквідований"
"168","УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ",2014-01-01,1098067.38095,"Ліквідований"
"169","АВТОКРАЗБАНК",2014-01-01,1121779.34668,"Ліквідований"
"170","БАНК МЕРКУРІЙ",2014-01-01,1171611.477,"Ліквідований"
"171","ЕКСПОБАНК",2014-01-01,1272173.77762,"Ліквідований"
"172","БАНК ПЕРШИЙ",2014-01-01,1310554.70459,"Ліквідований"
"173","БАНК ДЕМАРК",2014-01-01,1326982.83769,"Ліквідований"
"174","БАНК ЗОЛОТІ ВОРОТА",2014-01-01,1347981.55742,"Ліквідований"
"175","БАНК КАМБІО",2014-01-01,1519479.15414,"Ліквідований"
"176","БАНК КІПРУ",2014-01-01,1562340.26016,"Ліквідований"
"177","ЄВРОГАЗБАНК ",2014-01-01,1576044.48235,"Ліквідований"
"178","МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК ",2014-01-01,2080965.94566,"Ліквідований"
"179","ТЕРРА БАНК",2014-01-01,2297841.86611,"Ліквідований"
"180","АКТИВ - БАНК",2014-01-01,2388185.19215,"Ліквідований"
"181","АКТАБАНК ",2014-01-01,2492126.21152,"Ліквідований"
"182","ПІВДЕНКОМБАНК ",2014-01-01,3421256.88503,"Ліквідований"
"183","РЕАЛ БАНК",2014-01-01,4186255.03962,"Ліквідований"
"184","БАНК ФОРУМ",2014-01-01,7286235.67498,"Ліквідований"
"185","ВIEЙБI БАНК",2014-01-01,11559135.25744,"Ліквідований"
"186","БРОКБІЗНЕСБАНК",2014-01-01,26261225.6795,"Ліквідований"
"187","БГ БАНК",2014-01-01,NA,"Ліквідований"
"188","РВС БАНК",2014-01-01,NA,"Діючий"
"189","ФІНАНСОВА ІНІЦІАТИВА",2014-04-01,11867092.2943,"Діючий"
"190","АРТЕМ-БАНК",2014-04-01,267997.26213,"Ліквідований"
"191","БАНК ТРАСТ",2014-04-01,469220.86004,"Діючий"
"192","УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.",2014-04-01,17098.63544,"Діючий"
"193","БАНК ФАМІЛЬНИЙ",2014-04-01,29059.32806,"Діючий"
"194","АПЕКС-БАНК",2014-04-01,460120.48273,"Діючий"
"195","НОВИЙ",2014-04-01,508949.61481,"Діючий"
"196","РЕГІОН-БАНК",2014-04-01,310819.17565,"Діючий"
"197","АКОРДБАНК",2014-04-01,428759.32288,"Діючий"
"198","ЗЕМЕЛЬНИЙ КАПІТАЛ",2014-04-01,212648.3072,"Діючий"
"199","ФІНЕКСБАНК",2014-04-01,73258.63443,"Ліквідований"
"200","ВЕКТОР БАНК",2014-04-01,500,"Діючий"
"201","КРЕДИТ ОПТИМА БАНК",2014-04-01,140327.12846,"Діючий"
"202","БАНК ПОРТАЛ",2014-04-01,116512.83985,"Діючий"
"203","АЛЬПАРІ БАНК",2014-04-01,27908.00821,"Діючий"
"204","НЕОС БАНК",2014-04-01,NA,"Діючий"
"205","ЛЬВІВ",2014-04-01,696007.86829,"Діючий"
"206","БАНК СІЧ",2014-04-01,289027.61898,"Діючий"
"207","УКРБУДІНВЕСТБАНК",2014-04-01,268055.57997,"Діючий"
"208","АП БАНК",2014-04-01,NA,"Діючий"
"209","ГЕФЕСТ",2014-04-01,0,"Діючий"
"210","ЦЕНТР",2014-04-01,119854.29858,"Діючий"
"211","ФІНАНСОВИЙ ПАРТНЕР",2014-04-01,69671.28903,"Діючий"
"212","КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК",2014-04-01,23560.69998,"Діючий"
"213","БАНК УКРАЇНСЬКИЙ КАПІТАЛ",2014-04-01,156641.83305,"Діючий"
"214","НК БАНК",2014-04-01,NA,"Діючий"
"215","ДІАМАНТБАНК",2014-04-01,2817290.98357,"Діючий"
"216","МЕТАБАНК",2014-04-01,578428.11729,"Діючий"
"217","АЙБОКС БАНК",2014-04-01,313583.55798,"Діючий"
"218","ІНВЕСТБАНК",2014-04-01,392307.44057,"Діючий"
"219","ВЕРНУМ БАНК",2014-04-01,93100.39323,"Діючий"
"220","РОЗРАХУНКОВИЙ ЦЕНТР",2014-04-01,0,"Діючий"
"221","БАНК АЛЬЯНС",2014-04-01,181392.42613,"Діючий"
"222","КОМІНВЕСТБАНК",2014-04-01,578197.08337,"Діючий"
"223","МОТОР-БАНК",2014-04-01,206928.40156,"Діючий"
"224","ЮНЕКС БАНК",2014-04-01,1294796.2179,"Діючий"
"225","КОНКОРД",2014-04-01,174573.43642,"Діючий"
"226","МІСТО БАНК",2014-04-01,1241408.3892,"Діючий"
"227","ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК",2014-04-01,195504.57468,"Діючий"
"228","ОКСІ БАНК",2014-04-01,310280.70496,"Діючий"
"229","БАНК АВАНГАРД",2014-04-01,0,"Діючий"
"230","БАНК БОГУСЛАВ",2014-04-01,359291.65974,"Діючий"
"231","ПОЛІКОМБАНК",2014-04-01,312196.6929,"Діючий"
"232","ФІНБАНК",2014-04-01,2566339.3456,"Діючий"
"233","МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-04-01,1253752.13151,"Діючий"
"234","КРЕДИТВЕСТ БАНК",2014-04-01,380661.5185,"Діючий"
"235","РАДАБАНК",2014-04-01,197044.05254,"Діючий"
"236","ЄВРОПРОМБАНК",2014-04-01,784879.47444,"Діючий"
"237","БАНК ЮНІСОН",2014-04-01,378586.11695,"Діючий"
"238","ТРАСТ-КАПІТАЛ",2014-04-01,235217.15137,"Діючий"
"239","КРИСТАЛБАНК",2014-04-01,NA,"Діючий"
"240","ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-04-01,844761.59538,"Діючий"
"241","ІДЕЯ БАНК",2014-04-01,2271583.51369,"Діючий"
"242","ДІВІ БАНК",2014-04-01,5467907.36526,"Діючий"
"243","АСВІО БАНК",2014-04-01,391577.15591,"Діючий"
"244","ДОЙЧЕ БАНК ДБУ",2014-04-01,265221.55813,"Діючий"
"245","БАНК ФОРВАРД",2014-04-01,2659054.8997,"Діючий"
"246","ТАСКОМБАНК",2014-04-01,2307122.54077,"Діючий"
"247","БМ БАНК",2014-04-01,2420316.69355,"Діючий"
"248","ГЛОБУС",2014-04-01,636685.47647,"Діючий"
"249","МАРФІН БАНК ",2014-04-01,1516434.87604,"Діючий"
"250","А - БАНК",2014-04-01,1157563.85671,"Діючий"
"251","СЕБ КОРПОРАТИВНИЙ БАНК",2014-04-01,688887.22592,"Діючий"
"252","ЕКСПРЕС-БАНК",2014-04-01,1061846.67317,"Діючий"
"253","КЛІРИНГОВИЙ ДІМ",2014-04-01,2185034.42918,"Діючий"
"254","КРЕДИТ ЄВРОПА БАНК ",2014-04-01,1206980.58027,"Діючий"
"255","БАНК ГРАНТ",2014-04-01,731160.85014,"Діючий"
"256","БАНК 3/4",2014-04-01,357371.48043,"Діючий"
"257","БАНК КРЕДИТ ДНІПРО",2014-04-01,4199356.8473,"Діючий"
"258","БАНК ВОСТОК",2014-04-01,2386005.04463,"Діючий"
"259","ПІРЕУС БАНК МКБ",2014-04-01,1583924.01943,"Діючий"
"260","ПОЛТАВА - БАНК",2014-04-01,864819.14491,"Діючий"
"261","БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",2014-04-01,2291592.81449,"Діючий"
"262","ФОРТУНА-БАНК",2014-04-01,3076430.9866,"Діючий"
"263","АРКАДА",2014-04-01,2002105.09037,"Діючий"
"264","IНДУСТРІАЛБАНК",2014-04-01,1529705.38694,"Діючий"
"265","МЕГАБАНК",2014-04-01,5068563.08442,"Діючий"
"266","УНІВЕРСАЛ БАНК",2014-04-01,4240854.54114,"Діючий"
"267","ВІЕС БАНК",2014-04-01,1721300.43826,"Діючий"
"268","КРЕДOБАНК",2014-04-01,2645428.90805,"Діючий"
"269","ПРОКРЕДИТ БАНК",2014-04-01,2206171.47526,"Діючий"
"270","ПРАВЕКС-БАНК",2014-04-01,2665522.68616,"Діючий"
"271","БТА БАНК  ",2014-04-01,889791.44827,"Діючий"
"272","СІТІБАНК ",2014-04-01,2725145.07807,"Діючий"
"273","ПІВДЕННИЙ",2014-04-01,9734170.31811,"Діючий"
"274","КРЕДІ АГРІКОЛЬ БАНК",2014-04-01,13641441.93894,"Діючий"
"275","ОТП БАНК",2014-04-01,15897079.23509,"Діючий"
"276","РОДОВІД БАНК",2014-04-01,241386.47536,"Діючий"
"277","СБЕРБАНК РОСІЇ",2014-04-01,34384682.64827,"Діючий"
"278","ІНГ БАНК УКРАЇНА",2014-04-01,8957218.67155,"Діючий"
"279","ПУМБ",2014-04-01,23674605.53795,"Діючий"
"280","УКРСИББАНК",2014-04-01,14579850.10426,"Діючий"
"281","ВТБ БАНК",2014-04-01,24387660.67507,"Діючий"
"282","УКРГАЗБАНК ",2014-04-01,11162753.66766,"Діючий"
"283","ПРОМІНВЕСТБАНК",2014-04-01,35404806.8544,"Діючий"
"284","УКРЕКСІМБАНК",2014-04-01,49656744.14061,"Діючий"
"285","АЛЬФА-БАНК",2014-04-01,22149492.46506,"Діючий"
"286","РАЙФФАЙЗЕН БАНК АВАЛЬ",2014-04-01,29666836.46761,"Діючий"
"287","ОЩАДБАНК",2014-04-01,58266834.71399,"Діючий"
"288","УКРСОЦБАНК",2014-04-01,32505976.32206,"Діючий"
"289","ПРИВАТБАНК",2014-04-01,148728892.41539,"Діючий"
"290","ДЕЛЬТА БАНК",2014-04-01,45011995.5664,"Ліквідований"
"291","НАДРА",2014-04-01,28432531.45571,"Ліквідований"
"292","IМЕКСБАНК",2014-04-01,9935612.40445,"Ліквідований"
"293","ЗЛАТОБАНК",2014-04-01,6777455.81906,"Ліквідований"
"294","УКРБІЗНЕСБАНК ",2014-04-01,3808229.76432,"Ліквідований"
"295","ОМЕГА БАНК",2014-04-01,0,"Ліквідований"
"296","КРЕДИТПРОМБАНК",2014-04-01,214122.39851,"Ліквідований"
"297","ПРОФІН БАНК",2014-04-01,229962.74517,"Ліквідований"
"298","СТАНДАРТ",2014-04-01,390099.32274,"Ліквідований"
"299","АСТРА БАНК",2014-04-01,2521.51777,"Ліквідований"
"300","ЕНЕРГОБАНК",2014-04-01,1174900.94799,"Ліквідований"
"301","УКРГАЗПРОМБАНК",2014-04-01,739363.85426,"Ліквідований"
"302","КИЇВ",2014-04-01,822439.9526,"Ліквідований"
"303","БАНК КОНТРАКТ",2014-04-01,293720.70503,"Ліквідований"
"304","БАНК СОФІЙСЬКИЙ",2014-04-01,517728.90077,"Ліквідований"
"305","ДЕРЖЗЕМБАНК",2014-04-01,0,"Ліквідований"
"306","БАНК НАРОДНИЙ КАПІТАЛ",2014-04-01,200269.04156,"Ліквідований"
"307","ЄВРОБАНК",2014-04-01,855964.07568,"Ліквідований"
"308","ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК",2014-04-01,80610.18324,"Ліквідований"
"309","БАНК ВЕЛЕС",2014-04-01,138453.38731,"Ліквідований"
"310","СТОЛИЧНИЙ",2014-04-01,475758.53904,"Ліквідований"
"311","РАДИКАЛ БАНК",2014-04-01,876237.32977,"Ліквідований"
"312","ТК КРЕДИТ",2014-04-01,725342.2883,"Ліквідований"
"313","БАНК НАЦІОНАЛЬНИЙ КРЕДИТ",2014-04-01,1239142.43434,"Ліквідований"
"314","КСГ БАНК ",2014-04-01,312466.35969,"Ліквідований"
"315","ФІНАНС БАНК",2014-04-01,31612.92546,"Ліквідований"
"316","УКООПСПІЛКА",2014-04-01,177548.0861,"Ліквідований"
"317","КАПІТАЛ",2014-04-01,673446.54534,"Ліквідований"
"318","КЛАСИКБАНК",2014-04-01,421814.60719,"Ліквідований"
"319","IНТЕГРАЛ - БАНК",2014-04-01,593011.98393,"Ліквідований"
"320","БАНК ПЕТРОКОММЕРЦ-УКРАЇНА",2014-04-01,708575.45024,"Ліквідований"
"321","ЮНІОН СТАНДАРД БАНК",2014-04-01,535962.43804,"Ліквідований"
"322","ПРЕМIУМ",2014-04-01,587922.65767,"Ліквідований"
"323","СМАРТБАНК ",2014-04-01,NA,"Ліквідований"
"324","АВАНТ-БАНК",2014-04-01,1016613.3287,"Ліквідований"
"325","БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ",2014-04-01,3389975.95165,"Ліквідований"
"326","ПЛАТИНУМ БАНК",2014-04-01,5110629.73831,"Діючий"
"327","БАНК КИЇВСЬКА РУСЬ ",2014-04-01,5863590.20603,"Ліквідований"
"328","СОЮЗ",2014-04-01,3413581.10941,"Ліквідований"
"329","БАНК МИХАЙЛІВСЬКИЙ",2014-04-01,682167.57121,"Ліквідований"
"330","УНIКОМБАНК",2014-04-01,621952.76107,"Ліквідований"
"331","УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК",2014-04-01,2343154.1934,"Ліквідований"
"332","ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ",2014-04-01,3644946.52222,"Ліквідований"
"333","ХРЕЩАТИК",2014-04-01,3993474.53051,"Ліквідований"
"334","УКРІНБАНК",2014-04-01,4850957.60278,"Ліквідований"
"335","ФІДОБАНК",2014-04-01,5291916.38558,"Ліквідований"
"336","БАНК ФІНАНСИ ТА КРЕДИТ",2014-04-01,23775742.8509,"Ліквідований"
"337","СХІДНО-ПРОМИСЛ. КОМЕРЦ. БАНК",2014-04-01,66010.41304,"Ліквідований"
"338","ПРАЙМ-БАНК",2014-04-01,195223.83136,"Ліквідований"
"339","IНТЕРБАНК",2014-04-01,280545.10576,"Ліквідований"
"340","ЛЕГБАНК",2014-04-01,338237.89451,"Ліквідований"
"341","ГРІН БАНК",2014-04-01,282422.56951,"Ліквідований"
"342","УКРКОМУНБАНК",2014-04-01,296069.14713,"Ліквідований"
"343","СТАРОКИЇВСЬКИЙ БАНК",2014-04-01,341112.6793,"Ліквідований"
"344","ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТР.",2014-04-01,286107.20711,"Ліквідований"
"345","МЕЛІОР БАНК",2014-04-01,300888.63856,"Ліквідований"
"346","БАНК РИНКОВІ ТЕХНОЛОГІЇ",2014-04-01,363690.2042,"Ліквідований"
"347","ІНТЕРКРЕДИТБАНК",2014-04-01,423783.66935,"Ліквідований"
